Account_ID,Account_Number,Name,Account_Type,Balance,Fixed_Deposit,Recurring_Deposit,Loan_Amount,Interest_Rate,Branch,City,Country,Email,Phone_Number,Transaction_Type,Withdrawal,Deposit,Transaction_Date,Account_Open_Date,Notes,Possible,negative,Total_Balance,Loan_Status,Customer_Tenure,Account_Category,Interest_Per_Year,Zero_Balance_Flag,inconsistent_date
ACC104617,2092095210,Priya,Current,375123.0,84100,17609,1369326.0,8,Chennai,Chennai,India,priya@gmail.com,1787908089.0,Credit,56809,5434,2015-01-24,2016-05-25,Temp,False,False,476832.0,1,-487 days,High Balance,109546.08,0,False
ACC101692,9507829849,Arun,Current,361527.0,86628,46497,934624.0,8,Hyderabad,Chennai,,arun@gmail.com,5386169722.0,Debit,184708,-27358,2015-01-28,2023-11-05,,False,True,494652.0,1,-3203 days,High Balance,74769.92,0,False
ACC101305,5517942530,Kumar,FD,2417439.0,408,47497,244819.0,10,Chennai,Delhi,India,kumar@gmail.com,5671030123.0,Credit,2378,97273,2015-01-28,2023-04-24,Temp,False,False,2465344.0,1,-3008 days,High Balance,24481.9,0,False
ACC101742,2669655626,Robert,FD,2619210.0,73649,27580,573855.0,10,Hyderabad,Mumbai,India,robert@gmail.com,7923184434.0,Credit,94493,44183,2015-01-30,2023-09-20,,False,False,2720439.0,1,-3155 days,High Balance,57385.5,0,False
ACC104445,2129265570,John,FD,4692524.0,833,14112,1784980.0,8,Delhi,,India,john@gmail.com,0.0,Credit,61819,184796,2015-02-04,2021-05-11,,False,False,4707469.0,1,-2288 days,High Balance,142798.4,0,False
ACC102555,3721050759,Divya,Current,4393733.0,30569,19184,1737008.0,10,Bangalore,Mumbai,United Arab Emirites,divya@gmail.com,8410170549.0,Debit,74518,-12513,2015-02-05,2016-12-25,Temp,False,True,4443486.0,1,-689 days,High Balance,173700.80000000002,0,False
ACC102733,4123847334,Fatima,FD,915782.0,52901,17937,949527.0,16,Chennai,Chennai,United States,fatima@gmail.com,773680476.0,Credit,192463,150548,2015-02-05,2023-09-06,Temp,False,False,986620.0,1,-3135 days,High Balance,151924.32,0,False
ACC103541,2068088221,Arun,Savings,215975.0,25342,1525,1507803.0,10,Chennai,Dubai,United Arab Emirites,arun@gmail.com,1460138798.0,Credit,-34077,90489,2015-02-08,2020-06-17,Check,False,True,242842.0,1,-1956 days,High Balance,150780.30000000002,0,False
ACC100179,7334866170,Robert,FD,4756546.0,97183,45619,502493.0,12,Bangalore,Mumbai,United Arab Emirites,robert@gmail.com,4877776777.0,Credit,115386,129297,2015-02-08,2024-11-20,Check,False,False,4899348.0,1,-3573 days,High Balance,60299.159999999996,0,False
ACC103220,1291427435,Arun,Savings,1226902.0,48542,31218,604907.0,14,Delhi,Delhi,United States,arun@gmail.com,6586991227.0,Credit,115940,168632,2015-02-09,2016-12-03,Check,False,False,1306662.0,1,-663 days,High Balance,84686.98000000001,0,False
ACC100581,4488542252,Robert,Savings,93492.0,81288,37390,962114.0,16,Mumbai,Mumbai,,robert@gmail.com,3748829553.0,Debit,-44685,151989,2015-02-11,2017-02-09,,False,True,212170.0,1,-729 days,Medium Balance,153938.24,0,False
ACC102759,3619566569,Aisha,Savings,1353440.0,94790,28506,1858509.0,10,Delhi,Chennai,India,aisha@gmail.com,4997390734.0,Credit,134678,-47972,2015-02-16,2017-08-27,,False,True,1476736.0,1,-923 days,High Balance,185850.90000000002,0,False
ACC102850,3396368024,Mani,Current,3518937.0,87802,26991,1869182.0,12,Bangalore,,India,mani@gmail.com,7308319258.0,Credit,63723,75753,2015-02-17,2015-07-07,,False,False,3633730.0,1,-140 days,High Balance,224301.84,0,False
ACC101167,7815156573,Fatima,RD,4422183.0,73058,22169,921727.0,12,Bangalore,Delhi,United Arab Emirites,fatima@gmail.com,472932979.0,Credit,55846,52733,2015-02-21,2020-05-16,Check,False,False,4517410.0,1,-1911 days,High Balance,110607.23999999999,0,False
ACC104770,9860663940,John,Savings,1494365.0,16174,13351,0.0,10,Delhi,Chennai,United States,john@gmail.com,5535594959.0,Debit,8396,-23788,2015-02-22,2024-12-23,,False,True,1523890.0,0,-3592 days,High Balance,0.0,0,False
ACC103544,9388726561,Mani,FD,2610819.0,79848,7644,1237951.0,12,Bangalore,Chennai,India,mani@gmail.com,6616619871.0,Debit,73538,173051,2015-02-26,2024-03-30,Temp,False,False,2698311.0,1,-3320 days,High Balance,148554.12,0,False
ACC103205,9376367588,Fatima,Current,81981.0,3784,14746,729240.0,16,Bangalore,,India,fatima@gmail.com,2922574509.0,Credit,38181,143857,2015-02-28,2020-06-29,Temp,False,False,100511.0,1,-1948 days,Medium Balance,116678.40000000001,0,False
ACC100961,4991093696,Mani,Current,2335308.0,29545,45522,971200.0,14,Bangalore,New York,United States,mani@gmail.com,1438249851.0,Credit,28513,47585,2015-02-28,2015-06-10,Temp,False,False,2410375.0,1,-102 days,High Balance,135968.0,0,False
ACC100162,4968665189,Robert,Savings,3252198.0,35529,47963,287986.0,10,Mumbai,Chennai,United Arab Emirites,robert@gmail.com,3223403796.0,Debit,-36739,26709,2015-03-02,2024-04-13,,False,True,3335690.0,1,-3330 days,High Balance,28798.600000000002,0,False
ACC102593,1688235343,Fatima,Current,2417439.0,60660,20035,805561.0,10,Hyderabad,Delhi,,fatima@gmail.com,4453574772.0,Credit,107412,103274,2015-03-10,2022-08-06,,False,False,2498134.0,1,-2706 days,High Balance,80556.1,0,False
ACC100751,1895476956,Kumar,Current,2764073.0,42337,40409,1302916.0,16,Hyderabad,New York,United Arab Emirites,kumar@gmail.com,5865453084.0,Credit,92163,161648,2015-03-13,2015-08-13,Temp,False,False,2846819.0,1,-153 days,High Balance,208466.56,0,False
ACC101756,4128177449,Aisha,Savings,1974076.0,93685,14141,522224.0,8,Mumbai,Delhi,,aisha@gmail.com,1678116340.0,Debit,113365,32678,2015-03-15,2021-08-09,Check,False,False,2081902.0,1,-2339 days,High Balance,41777.92,0,False
ACC101740,2643475939,John,Savings,155907.0,67659,17894,61721.0,12,Bangalore,New York,United States,john@gmail.com,224969535.0,Debit,134009,64938,2015-03-16,2017-08-09,Check,False,False,241460.0,1,-877 days,Medium Balance,7406.5199999999995,0,False
ACC103150,3420134580,Priya,RD,2379197.0,42543,7088,1821379.0,10,Mumbai,New York,United States,priya@gmail.com,0.0,Credit,-31719,90780,2015-03-16,2017-09-10,,False,True,2428828.0,1,-909 days,High Balance,182137.90000000002,0,False
ACC104586,7361349158,Divya,Savings,717665.0,33812,37275,1879426.0,8,Delhi,Delhi,United Arab Emirites,divya@gmail.com,0.0,Credit,45225,189083,2015-03-18,2024-01-30,Remove,False,False,788752.0,1,-3240 days,High Balance,150354.08000000002,0,False
ACC103029,8987868356,Arun,RD,331274.0,14088,30876,1785270.0,16,Bangalore,,United States,arun@gmail.com,8945833865.0,Credit,-46698,109153,2015-03-18,2024-01-08,Temp,False,True,376238.0,1,-3218 days,High Balance,285643.2,0,False
ACC103710,7018161409,Kavi,Current,4520035.0,74445,10698,1077118.0,10,Bangalore,New York,India,kavi@gmail.com,7518089158.0,Credit,-13903,163003,2015-03-19,2017-01-08,Temp,False,True,4605178.0,1,-661 days,High Balance,107711.8,0,False
ACC100298,8867197389,Divya,FD,3856377.0,20390,9867,577536.0,10,Delhi,Delhi,United States,divya@gmail.com,6671848946.0,Credit,-15450,3693,2015-03-20,2023-07-21,Remove,False,True,3886634.0,1,-3045 days,High Balance,57753.600000000006,0,False
ACC100665,8087127914,Kumar,Current,3519829.0,14937,9754,1103790.0,14,Hyderabad,Delhi,India,kumar@gmail.com,9511382510.0,Debit,157616,-5130,2015-03-26,2019-10-02,Temp,False,True,3544520.0,1,-1651 days,High Balance,154530.6,0,False
ACC103482,9386764888,Kavi,Savings,3111091.0,70509,15372,1843827.0,8,Bangalore,Chennai,India,kavi@gmail.com,0.0,Debit,138576,-14531,2015-04-01,2018-07-10,Check,False,True,3196972.0,1,-1196 days,High Balance,147506.16,0,False
ACC102329,1323828734,Divya,FD,2417439.0,29070,7097,1478481.0,14,Hyderabad,Mumbai,United States,divya@gmail.com,7163494811.0,Debit,181985,65412,2015-04-02,2019-03-04,,False,False,2453606.0,1,-1432 days,High Balance,206987.34000000003,0,False
ACC103224,5704322418,John,Current,2974597.0,56044,42228,1491264.0,12,Bangalore,,India,john@gmail.com,5050669367.0,Credit,43918,-34789,2015-04-02,2016-05-10,Temp,False,True,3072869.0,1,-404 days,High Balance,178951.68,0,False
ACC104599,6149706567,Kavi,Savings,4020702.0,3810,1306,1667941.0,12,Delhi,Chennai,India,kavi@gmail.com,7767519660.0,Debit,103768,-47453,2015-04-03,2023-11-20,Temp,False,True,4025818.0,1,-3153 days,High Balance,200152.91999999998,0,False
ACC101492,5848744420,Fatima,Savings,4951383.0,53206,12505,1219022.0,10,Delhi,Mumbai,United States,fatima@gmail.com,112666017.0,Debit,-20860,142789,2015-04-03,2018-05-23,,False,True,5017094.0,1,-1146 days,High Balance,121902.20000000001,0,False
ACC101231,7355122163,Robert,Current,1049850.0,17870,49547,1256987.0,14,Mumbai,Mumbai,United Arab Emirites,robert@gmail.com,7459429723.0,Credit,-30622,-42452,2015-04-04,2015-02-01,Check,False,True,1117267.0,1,62 days,High Balance,175978.18000000002,0,False
ACC104150,5092397595,Fatima,Current,1185141.0,42123,42153,1141072.0,16,Bangalore,Delhi,United States,fatima@gmail.com,0.0,Credit,85107,-14448,2015-04-06,2019-05-14,Remove,False,True,1269417.0,1,-1499 days,High Balance,182571.52,0,False
ACC104260,1632754379,John,Savings,4518120.0,85893,34052,303650.0,16,Bangalore,Delhi,United States,john@gmail.com,9852037441.0,Debit,-38161,-41457,2015-04-06,2022-06-07,Temp,False,True,4638065.0,1,-2619 days,High Balance,48584.0,0,False
ACC101048,3833580750,Fatima,Savings,107438.0,41347,41684,855936.0,12,Chennai,Chennai,India,fatima@gmail.com,4934287503.0,Debit,-32510,100245,2015-04-06,2019-04-06,,False,True,190469.0,1,-1461 days,Medium Balance,102712.31999999999,0,False
ACC104356,4304907885,Kumar,FD,1143800.0,47963,34486,1652516.0,14,Bangalore,Delhi,United States,kumar@gmail.com,3443264180.0,Debit,11059,150386,2015-04-10,2017-05-12,Check,False,False,1226249.0,1,-763 days,High Balance,231352.24000000002,0,False
ACC102306,6704679437,Arun,Current,2352290.0,15706,4824,444215.0,8,Delhi,Chennai,India,arun@gmail.com,5461765281.0,Credit,191192,172998,2015-04-12,2024-07-31,,False,False,2372820.0,1,-3398 days,High Balance,35537.200000000004,0,False
ACC102756,5451863309,Arun,FD,1755000.0,29259,229,0.0,12,Mumbai,Chennai,United Arab Emirites,arun@gmail.com,1998898829.0,Debit,108597,180736,2015-04-16,2019-07-15,Check,False,False,1784488.0,0,-1551 days,High Balance,0.0,0,False
ACC101796,8437091133,Arun,Savings,2417439.0,45456,16041,521270.0,8,Bangalore,Chennai,India,arun@gmail.com,4789093188.0,Credit,99896,48412,2015-04-16,2016-02-22,Check,False,False,2478936.0,1,-312 days,High Balance,41701.6,0,False
ACC104739,7693125783,Mani,FD,4566588.0,99727,25825,1362826.0,8,Bangalore,Mumbai,United Arab Emirites,mani@gmail.com,9633195665.0,Credit,-18323,-14661,2015-04-18,2022-04-30,,False,True,4692140.0,1,-2569 days,High Balance,109026.08,0,False
ACC103171,6764161031,John,Unknown,2040078.0,20729,18330,1599899.0,14,Bangalore,Delhi,United States,john@gmail.com,1742773806.0,Credit,153547,119912,2015-04-18,2015-02-08,,False,False,2079137.0,1,69 days,High Balance,223985.86000000002,0,False
ACC100577,4560086011,Kavi,Unknown,1316825.0,88078,42733,0.0,10,Hyderabad,Chennai,United States,kavi@gmail.com,3213939468.0,Debit,108455,-26596,2015-04-22,2016-11-13,,False,True,1447636.0,0,-571 days,High Balance,0.0,0,False
ACC101758,2331478350,Kavi,RD,2640287.0,56365,30311,766835.0,8,Mumbai,Mumbai,,kavi@gmail.com,8221956645.0,Credit,110434,1026,2015-04-24,2018-05-10,Check,False,False,2726963.0,1,-1112 days,High Balance,61346.8,0,False
ACC102651,1870365527,Aisha,Current,2416048.0,93754,28965,236917.0,16,Mumbai,Chennai,,aisha@gmail.com,3031232566.0,Debit,131175,113301,2015-04-25,2020-04-04,Temp,False,False,2538767.0,1,-1806 days,High Balance,37906.72,0,False
ACC101276,7035823659,John,Current,478057.0,65884,28890,0.0,12,Chennai,Mumbai,United Arab Emirites,john@gmail.com,5855148039.0,Debit,173055,35551,2015-04-25,2017-01-22,Temp,False,False,572831.0,0,-638 days,High Balance,0.0,0,False
ACC101271,3877278971,Kumar,FD,274822.0,49200,18286,1659260.0,14,Bangalore,,United Arab Emirites,kumar@gmail.com,2752405867.0,Debit,107597,-11606,2015-04-27,2017-07-31,,False,True,342308.0,1,-826 days,High Balance,232296.40000000002,0,False
ACC104133,5491735973,Kavi,Unknown,2417439.0,5615,19295,1692262.0,12,Hyderabad,New York,India,kavi@gmail.com,0.0,Credit,110473,135262,2015-04-28,2024-09-05,Check,False,False,2442349.0,1,-3418 days,High Balance,203071.44,0,False
ACC102099,6904614942,Divya,Unknown,4952075.0,70728,23942,1483057.0,8,Bangalore,Dubai,United States,divya@gmail.com,1148117225.0,Credit,6092,64090,2015-04-28,2020-10-01,Check,False,False,5046745.0,1,-1983 days,High Balance,118644.56,0,False
ACC103930,1307301153,Divya,FD,2417439.0,7055,11708,527819.0,16,Mumbai,Mumbai,United States,divya@gmail.com,0.0,Credit,43776,-45566,2015-04-28,2021-04-21,,False,True,2436202.0,1,-2185 days,High Balance,84451.04000000001,0,False
ACC104400,1848873132,Mani,Current,4136145.0,20998,35634,1100929.0,14,Bangalore,Dubai,United States,mani@gmail.com,0.0,Credit,40455,133755,2015-04-29,2022-10-26,,False,False,4192777.0,1,-2737 days,High Balance,154130.06000000003,0,False
ACC100200,4681610143,Aisha,RD,3830323.0,40469,17600,535726.0,14,Delhi,Dubai,,aisha@gmail.com,9286010886.0,Debit,8819,-6144,2015-05-05,2023-11-21,Remove,False,True,3888392.0,1,-3122 days,High Balance,75001.64000000001,0,False
ACC100399,2873655622,Divya,Savings,685062.0,98384,2083,717468.0,12,Delhi,,United States,divya@gmail.com,4703346750.0,Debit,179610,42508,2015-05-07,2021-03-02,Check,False,False,785529.0,1,-2126 days,High Balance,86096.16,0,False
ACC102481,9029556878,John,Savings,1615830.0,86448,12409,0.0,16,Hyderabad,Chennai,India,john@gmail.com,5043364608.0,Credit,124026,26061,2015-05-07,2016-03-01,,False,False,1714687.0,0,-299 days,High Balance,0.0,0,False
ACC102530,4091367050,John,FD,3673785.0,99875,24247,1754972.0,10,Hyderabad,Delhi,United States,john@gmail.com,5550856042.0,Debit,82757,64972,2015-05-10,2020-07-28,Check,False,False,3797907.0,1,-1906 days,High Balance,175497.2,0,False
ACC101836,1121144749,Kavi,Savings,2417439.0,94843,44400,1967589.0,14,Delhi,Mumbai,India,kavi@gmail.com,1073574535.0,Debit,127987,113838,2015-05-11,2016-02-24,Temp,False,False,2556682.0,1,-289 days,High Balance,275462.46,0,False
ACC100739,9458208500,Fatima,Savings,2125640.0,59912,40385,1393625.0,16,Bangalore,,United Arab Emirites,fatima@gmail.com,4765151084.0,Debit,182470,-47023,2015-05-12,2023-07-13,,False,True,2225937.0,1,-2984 days,High Balance,222980.0,0,False
ACC100465,2251486412,Mani,FD,2297628.0,56234,35595,1096347.0,14,Bangalore,Dubai,United States,mani@gmail.com,8892236297.0,Debit,4973,198297,2015-05-14,2017-02-26,Remove,False,False,2389457.0,1,-654 days,High Balance,153488.58000000002,0,False
ACC103603,4298281190,Robert,Savings,4642607.0,57852,16932,1554003.0,16,Chennai,Chennai,India,robert@gmail.com,399640601.0,Debit,164944,32364,2015-05-16,2015-08-26,,False,False,4717391.0,1,-102 days,High Balance,248640.48,0,False
ACC104717,3400001833,Arun,Current,4349102.0,4814,41420,1829511.0,14,Delhi,Chennai,United Arab Emirites,arun@gmail.com,1172972420.0,Credit,-34448,127515,2015-05-17,2018-10-28,Remove,False,True,4395336.0,1,-1260 days,High Balance,256131.54000000004,0,False
ACC100391,6508471071,Kumar,Savings,4243900.0,91916,20566,1810278.0,8,Hyderabad,,United Arab Emirites,kumar@gmail.com,492692462.0,Credit,45018,-33429,2015-05-18,2016-07-31,Check,False,True,4356382.0,1,-440 days,High Balance,144822.24,0,False
ACC102428,9963447986,Priya,Current,4920445.0,59888,11424,760232.0,14,Mumbai,Delhi,United Arab Emirites,priya@gmail.com,1219133618.0,Credit,64782,134096,2015-05-20,2021-09-20,Remove,False,False,4991757.0,1,-2315 days,High Balance,106432.48000000001,0,False
ACC103157,1070057905,Aisha,Savings,359754.0,97490,7797,421896.0,14,Bangalore,New York,India,aisha@gmail.com,0.0,Credit,93340,128684,2015-05-21,2022-11-02,Remove,False,False,465041.0,1,-2722 days,High Balance,59065.44,0,False
ACC103148,2181669692,Priya,Current,3314680.0,99953,28698,115080.0,10,Bangalore,Chennai,United States,priya@gmail.com,4338578066.0,Credit,-26587,-16560,2015-05-22,2022-08-08,Temp,False,True,3443331.0,1,-2635 days,High Balance,11508.0,0,False
ACC103630,3691292324,Fatima,RD,3650606.0,47221,16864,283247.0,10,Mumbai,Mumbai,United Arab Emirites,fatima@gmail.com,4713615813.0,Credit,56542,-1399,2015-05-23,2020-11-10,,False,True,3714691.0,1,-1998 days,High Balance,28324.7,0,False
ACC104421,6113772684,Robert,FD,3689379.0,26334,33084,1988799.0,10,Bangalore,Chennai,United Arab Emirites,robert@gmail.com,2197666140.0,Credit,-9685,117956,2015-05-25,2022-03-20,Check,False,True,3748797.0,1,-2491 days,High Balance,198879.90000000002,0,False
ACC101376,8199983710,Kumar,Current,1597086.0,90913,43002,114018.0,14,Hyderabad,,,kumar@gmail.com,7714298853.0,Debit,-47584,74236,2015-05-27,2016-12-17,Remove,False,True,1731001.0,1,-570 days,High Balance,15962.520000000002,0,False
ACC104347,5221753298,Kumar,FD,3935550.0,83512,4789,443626.0,14,Chennai,Chennai,India,kumar@gmail.com,4707153993.0,Credit,199060,33726,2015-05-28,2019-08-31,Temp,False,False,4023851.0,1,-1556 days,High Balance,62107.64000000001,0,False
ACC100820,8087304797,Kumar,Current,1952587.0,13746,4094,1217327.0,14,Delhi,Mumbai,United States,kumar@gmail.com,338716563.0,Credit,173293,39938,2015-05-29,2021-09-19,,False,False,1970427.0,1,-2305 days,High Balance,170425.78000000003,0,False
ACC102674,6498658031,Kavi,FD,1243177.0,11262,5536,0.0,12,Bangalore,Mumbai,United Arab Emirites,kavi@gmail.com,7670196449.0,Debit,33795,-20730,2015-05-29,2018-04-21,,False,True,1259975.0,0,-1058 days,High Balance,0.0,0,False
ACC101829,1825340602,Aisha,FD,2050.0,32921,39227,1072808.0,12,Bangalore,Mumbai,United Arab Emirites,aisha@gmail.com,6956690334.0,Debit,172491,30656,2015-05-29,2015-01-08,Check,False,False,74198.0,1,141 days,Low Balance,128736.95999999999,0,False
ACC102366,5866728563,Kumar,Savings,3836768.0,15587,5811,722310.0,8,Delhi,Delhi,India,kumar@gmail.com,2709580365.0,Debit,187524,73157,2015-06-02,2022-12-29,Remove,False,False,3858166.0,1,-2767 days,High Balance,57784.8,0,False
ACC100155,7647684665,Kavi,Current,4658569.0,1988,48209,1748781.0,8,Mumbai,,,kavi@gmail.com,629182179.0,Debit,54092,179577,2015-06-03,2020-05-16,Remove,False,False,4708766.0,1,-1809 days,High Balance,139902.48,0,False
ACC103127,6683313615,Aisha,Current,2417439.0,85379,39141,1499546.0,14,Bangalore,New York,,aisha@gmail.com,0.0,Debit,22582,162317,2015-06-05,2015-04-20,Remove,False,False,2541959.0,1,46 days,High Balance,209936.44000000003,0,False
ACC104682,6370131768,Fatima,Current,1509739.0,95448,10927,1198983.0,16,Mumbai,Mumbai,United States,fatima@gmail.com,8320432796.0,Debit,194162,135436,2015-06-05,2019-09-10,Check,False,False,1616114.0,1,-1558 days,High Balance,191837.28,0,False
ACC101859,8078972493,Kavi,Savings,3002057.0,66893,22612,512089.0,14,Bangalore,,United States,kavi@gmail.com,0.0,Debit,88433,1559,2015-06-05,2023-09-24,,False,False,3091562.0,1,-3033 days,High Balance,71692.46,0,False
ACC102102,4396074531,Aisha,Unknown,346357.0,86633,22303,44790.0,16,Mumbai,,,aisha@gmail.com,4417944000.0,Debit,166731,127082,2015-06-06,2016-09-05,Check,False,False,455293.0,1,-457 days,High Balance,7166.400000000001,0,False
ACC104639,9895877490,Kumar,FD,2417439.0,7286,1657,1964503.0,10,Bangalore,Mumbai,United States,kumar@gmail.com,9433545102.0,Credit,60302,149811,2015-06-08,2022-09-11,,False,False,2426382.0,1,-2652 days,High Balance,196450.30000000002,0,False
ACC103458,4687144486,Kumar,FD,1514321.0,76876,22670,688895.0,8,Bangalore,Dubai,United States,kumar@gmail.com,5361747628.0,Credit,88415,-6841,2015-06-11,2024-01-20,Remove,False,True,1613867.0,1,-3145 days,High Balance,55111.6,0,False
ACC100135,8605444834,Kumar,Unknown,2417439.0,85992,13324,1629778.0,16,Bangalore,Dubai,India,kumar@gmail.com,1885575036.0,Credit,199134,17055,2015-06-11,2019-10-18,Remove,False,False,2516755.0,1,-1590 days,High Balance,260764.48,0,False
ACC102223,9794513349,John,RD,956769.0,75369,8168,1578583.0,12,Chennai,,United States,john@gmail.com,6060856601.0,Credit,-40139,167068,2015-06-17,2022-05-26,Temp,False,True,1040306.0,1,-2535 days,High Balance,189429.96,0,False
ACC100976,7296704579,Priya,Current,1068127.0,26508,21664,189570.0,16,Chennai,Mumbai,,priya@gmail.com,9860649687.0,Credit,-45160,131136,2015-06-17,2015-10-11,Check,False,True,1116299.0,1,-116 days,High Balance,30331.2,0,False
ACC104153,6420997480,Priya,RD,213656.0,82933,26074,75501.0,16,Bangalore,New York,United States,priya@gmail.com,5476639048.0,Credit,-4494,148617,2015-06-18,2016-05-16,Temp,False,True,322663.0,1,-333 days,High Balance,12080.16,0,False
ACC101210,9446300979,Kumar,FD,388702.0,68734,17325,111282.0,16,Bangalore,,United Arab Emirites,kumar@gmail.com,1244892197.0,Debit,-2117,136390,2015-06-18,2022-03-14,,False,True,474761.0,1,-2461 days,High Balance,17805.12,0,False
ACC102502,5216151224,Mani,FD,202942.0,79120,49805,1207034.0,14,Bangalore,New York,United Arab Emirites,mani@gmail.com,4257692035.0,Debit,168494,47446,2015-06-19,2019-05-26,Remove,False,False,331867.0,1,-1437 days,High Balance,168984.76,0,False
ACC103049,4412485284,Arun,Current,2317781.0,74397,41871,1473609.0,10,Chennai,New York,India,arun@gmail.com,9681777889.0,Debit,157639,150957,2015-06-23,2015-12-25,Check,False,False,2434049.0,1,-185 days,High Balance,147360.9,0,False
